"Candidate_ID";"Job_ID";"Recruitment_Source";"Department";"Job_Role";"Location";"Education_Level";"Experience_Level";"Recruiter";"Application_Date";"Screening_Date";"Interview_Date";"Offer_Date";"Hire_Date";"Candidate_Status";"Rejection_Reason";"Offered_Salary_EUR";"Hiring_Cost_EUR";"Time_to_Screen_Days";"Time_to_Interview_Days";"Time_to_Offer_Days";"Time_to_Hire_Days";"Application_to_Screen_Days";"Screen_to_Interview_Days";"Interview_to_Offer_Days";"Offer_to_Hire_Days";"Calculated_Time_to_Hire_Days";"Reached_Screening";"Reached_Interview";"Received_Offer";"Hired_Flag"
"C00001";"J003";"Recruitment Agency";"Finance";"Financial Analyst";"Pforzheim";"Bachelor";"8-10 years";"Anna Schmidt";"2024-11-21";"2024-12-01";"";"";"";"Rejected After Screening";"Insufficient Experience";47000.0;0.0;"10";"";"";"";10;0;0;0;0;1;0;0;0
"C00002";"J024";"Social Media";"Sales";"Account Executive";"Munich";"Bachelor";"2-4 years";"Sophie Hoffmann";"2024-07-22";"";"";"";"";"Rejected at Application";"Not Eligible";56000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00003";"J020";"LinkedIn";"Marketing";"Marketing Coordinator";"Remote";"Bachelor";"5-7 years";"Anna Schmidt";"2025-12-05";"";"";"";"";"Rejected at Application";"No Response";61500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00004";"J014";"LinkedIn";"Technology";"Data Analyst";"Stuttgart";"High School";"2-4 years";"Michael Wagner";"2025-10-21";"2025-10-24";"2025-11-04";"2025-11-11";"";"Offer Declined";"Salary Expectations";76000.0;0.0;"3";"14";"21";"";3;11;7;0;0;1;1;1;0
"C00005";"J013";"Company Website";"Technology";"Data Analyst";"Stuttgart";"PhD";"5-7 years";"Anna Schmidt";"2024-09-30";"2024-10-08";"";"";"";"Rejected After Screening";"Skills Mismatch";78000.0;0.0;"8";"";"";"";8;0;0;0;0;1;0;0;0
"C00006";"J026";"Indeed";"Operations";"Operations Analyst";"Munich";"Master";"2-4 years";"Sophie Hoffmann";"2024-07-22";"";"";"";"";"Rejected at Application";"Incomplete Application";51000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00007";"J003";"Employee Referral";"Marketing";"Digital Marketing Specialist";"Stuttgart";"Bachelor";"5-7 years";"Daniel Weber";"2026-03-17";"";"";"";"";"Rejected at Application";"Position Filled";46500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00008";"J021";"Company Website";"Sales";"Business Development Representative";"Berlin";"Bachelor";"2-4 years";"David Müller";"2025-02-03";"2025-02-10";"";"";"";"Rejected After Screening";"Skills Mismatch";58000.0;0.0;"7";"";"";"";7;0;0;0;0;1;0;0;0
"C00009";"J007";"Recruitment Agency";"Sales";"Account Executive";"Munich";"Master";"8-10 years";"Thomas Fischer";"2025-08-17";"2025-08-22";"2025-09-01";"2025-09-04";"2025-09-24";"Hired";"";61500.0;3755.0;"5";"15";"18";"38";5;10;3;20;38;1;1;1;1
"C00010";"J003";"LinkedIn";"Human Resources";"Recruitment Specialist";"Hamburg";"Bachelor";"0-1 years";"Laura Becker";"2025-08-22";"";"";"";"";"Rejected at Application";"Insufficient Experience";62500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00011";"J016";"Company Website";"Finance";"Finance Officer";"Berlin";"Bachelor";"8-10 years";"Thomas Fischer";"2025-09-20";"";"";"";"";"Rejected at Application";"No Response";46000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00012";"J030";"University/Career Fair";"Operations";"Operations Analyst";"Munich";"Bachelor";"10+ years";"Michael Wagner";"2026-05-26";"";"";"";"";"Rejected at Application";"Position Filled";45500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00013";"J023";"Indeed";"Finance";"Finance Officer";"Hamburg";"Master";"0-1 years";"Daniel Weber";"2025-10-04";"";"";"";"";"Rejected at Application";"Insufficient Experience";52500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00014";"J023";"Company Website";"Sales";"Sales Executive";"Stuttgart";"Bachelor";"2-4 years";"Thomas Fischer";"2024-02-25";"";"";"";"";"Rejected at Application";"Position Filled";61000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00015";"J022";"LinkedIn";"Technology";"Software Developer";"Frankfurt";"Master";"5-7 years";"Daniel Weber";"2024-12-31";"2025-01-08";"2025-01-19";"";"";"Rejected After Interview";"Salary Expectations";68000.0;0.0;"8";"19";"";"";8;11;0;0;0;1;1;0;0
